id,start,end,duration,bucket,meaning,hook,clarity,energy,novelty,finishability,viral_score,semantic_mode
cand_0004,18.0,33.933333,15.933332999999998,2,100.0,75.0,61.75000000000001,100.0,100.0,85.0,86.1,semantic
cand_0039,12.82,33.933333,21.113332999999997,1,100.0,75.0,61.75000000000001,70.0,100.0,85.0,80.1,semantic
cand_0001,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0019,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0020,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0021,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0022,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0023,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0024,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0025,0.0,33.933333,33.933333,0,100.0,73.28571428571429,61.75000000000001,71.28571428571429,100.0,85.0,79.92857142857144,semantic
cand_0038,12.100000000000001,33.933333,21.833332999999996,1,93.33333333333333,54.99999999999999,61.75000000000001,61.66666666666667,51.515151515151516,85.0,71.1,semantic
cand_0003,12.0,33.933333,21.933332999999998,1,86.66666666666667,35.0,61.75000000000001,68.33333333333333,11.538461538461542,85.0,65.1,semantic
cand_0026,0.0,33.933333,33.933333,0,20.0,73.28571428571429,61.75000000000001,71.28571428571429,0.0,85.0,51.92857142857144,no_text
cand_0027,0.0,33.933333,33.933333,0,20.0,73.28571428571429,61.75000000000001,71.28571428571429,0.0,85.0,51.92857142857144,no_text
cand_0028,0.0,33.933333,33.933333,0,20.0,73.28571428571429,61.75000000000001,71.28571428571429,0.0,85.0,51.92857142857144,no_text
cand_0029,0.0,33.933333,33.933333,0,20.0,73.28571428571429,61.75000000000001,71.28571428571429,0.0,85.0,51.92857142857144,no_text
cand_0030,0.0,33.933333,33.933333,0,20.0,73.28571428571429,61.75000000000001,71.28571428571429,0.0,85.0,51.92857142857144,no_text
cand_0031,0.5600000000000005,33.933333,33.373332999999995,0,20.0,75.0,61.75000000000001,67.0,0.0,85.0,51.5,no_text
cand_0032,1.620000000000001,33.933333,32.313333,0,20.0,27.0,61.75000000000001,90.28571428571429,0.0,85.0,44.15714285714286,no_text
cand_0016,0.0,31.96,31.96,0,20.0,73.28571428571429,45.25,47.0,0.0,55.0,43.77142857142857,no_text
cand_0018,0.0,32.519999999999996,32.519999999999996,0,20.0,73.28571428571429,45.25,45.857142857142854,0.0,55.0,43.542857142857144,no_text
cand_0037,2.0599999999999987,33.933333,31.873333,0,20.0,25.285714285714285,61.75000000000001,87.85714285714286,0.0,85.0,43.24285714285715,no_text
cand_0017,0.0,32.019999999999996,32.019999999999996,0,20.0,73.28571428571429,45.25,44.142857142857146,0.0,55.0,43.2,no_text
cand_0036,2.039999999999999,33.933333,31.893333,0,20.0,23.57142857142857,61.75000000000001,85.0,0.0,85.0,42.24285714285715,no_text
cand_0035,2.0,33.933333,31.933332999999998,0,20.0,21.857142857142854,61.75000000000001,86.14285714285714,0.0,85.0,42.042857142857144,no_text
cand_0034,1.9800000000000004,33.933333,31.953332999999997,0,20.0,20.142857142857142,61.75000000000001,85.42857142857143,0.0,85.0,41.471428571428575,no_text
cand_0033,1.9600000000000009,33.933333,31.973332999999997,0,20.0,18.428571428571427,61.75000000000001,83.71428571428571,0.0,85.0,40.7,no_text
cand_0002,6.0,33.933333,27.933332999999998,0,20.0,16.714285714285715,61.75000000000001,80.71428571428572,0.0,85.0,39.67142857142858,no_text
cand_0005,0.0,26.46,26.46,0,20.0,73.28571428571429,26.0,33.14285714285714,0.0,20.0,37.15,no_text
cand_0007,0.0,26.84,26.84,0,20.0,73.28571428571429,26.0,30.28571428571429,0.0,20.0,36.57857142857143,no_text
cand_0009,0.0,27.14,27.14,0,20.0,73.28571428571429,26.0,29.28571428571428,0.0,20.0,36.378571428571426,no_text
cand_0010,0.0,27.16,27.16,0,20.0,73.28571428571429,26.0,28.857142857142858,0.0,20.0,36.292857142857144,no_text
cand_0006,0.0,26.82,26.82,0,20.0,73.28571428571429,26.0,27.714285714285715,0.0,20.0,36.06428571428572,no_text
cand_0015,0.0,30.0,30.0,0,20.0,73.28571428571429,26.0,27.57142857142857,0.0,20.0,36.035714285714285,no_text
cand_0014,0.0,29.42,29.42,0,20.0,73.28571428571429,26.0,26.14285714285714,0.0,20.0,35.75,no_text
cand_0008,0.0,26.939999999999998,26.939999999999998,0,20.0,73.28571428571429,26.0,26.0,0.0,20.0,35.721428571428575,no_text
cand_0013,0.0,29.36,29.36,0,20.0,73.28571428571429,26.0,23.57142857142857,0.0,20.0,35.23571428571429,no_text
cand_0012,0.0,29.34,29.34,0,20.0,73.28571428571429,26.0,22.142857142857142,0.0,20.0,34.95,no_text
cand_0011,0.0,29.14,29.14,0,20.0,73.28571428571429,26.0,20.42857142857143,0.0,20.0,34.60714285714286,no_text
